,school_no, longitude, latitude, person, sa2_name_2016, sa4_name_2016, mb_category_name_2016, sa3_name_2016, mb_code_2016, Connectivity, Area, Connections, LUM_Residential, LUM_Parkland, LUM_Education, LUM_Commercial, LUM_Industrial, LUM_Hospital/Medical, LUM_Transport, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
140,4543,144.95187,-37.73603,0,Coburg,Melbourne - Inner,Education,Brunswick - Coburg,20467390000,77.3990549969,736443.100013,57,647959.100127,0.0,45187.2578412,0.0,43296.7420444,0.0,0.0,0.231500552439,42.1350974948,-0.650944206206,-0.589805112461,-0.943788276103,-2.18453759477
141,4399,144.9431,-37.75654,0,Brunswick West,Melbourne - Inner,Education,Brunswick - Coburg,20463740000,89.3426018184,548450.560009,49,493198.179716,19888.2419253,16983.8107417,11775.396146,0.0,0.0,6604.93147966,0.235913016933,67.4303494765,-0.391523496075,0.0147996513623,-0.917528846096,-1.29425269081
142,4309,144.99072,-37.74789,0,Preston - West,Melbourne - North East,Education,Darebin - North,20148730000,83.5857222262,646043.35001,54,574958.724648,12157.5321772,16749.73691,0.0,35081.8303575,0.0,7095.52591691,0.247157049679,40.7616339251,-0.516566233738,-0.622633511156,-0.850613431532,-1.98981317643
143,4304,144.94318,-37.77057,3,Brunswick West,Melbourne - Inner,Education,Brunswick - Coburg,20462910000,74.3994659435,752693.575012,56,685753.759275,29728.1910703,18962.135776,12718.9654328,5530.52345755,0.0,0.0,0.210843567142,49.0322708665,-0.716097006623,-0.424949515037,-1.06672199269,-2.20776851435
144,4220,144.89555,-37.7566,7,Essendon - Aberfeldie,Melbourne - Inner,Education,Essendon,20448360000,61.5639127287,665974.565014,41,604711.217996,22628.4196473,38634.92737,0.0,0.0,0.0,0.0,0.188963270203,34.0917497153,-0.994892608941,-0.782056464139,-1.19693587357,-2.97388494665
145,4183,145.04474,-37.83953,0,Hawthorn East,Melbourne - Inner East,Education,Boroondara,20068440000,56.6548934013,176507.260002,10,85208.3925708,38921.9204006,33529.7178178,14945.6294725,0.0,0.0,0.0,0.624126734052,39.4064117372,-1.10151933373,-0.655025906039,1.39280610304,-0.36373913673
146,4177,145.00555,-37.77647,0,Northcote,Melbourne - Inner,Education,Darebin - South,20139500000,118.357277534,650572.58501,77,614221.887856,21245.3596827,15105.3374715,0.0,0.0,0.0,0.0,0.130217561857,46.2877438437,0.238691957575,-0.490548945064,-1.54654295111,-1.7983999386
147,4087,145.00513,-37.87471,0,Caulfield - North,Melbourne - Inner South,Education,Glen Eira,20184270000,55.3989975319,487373.440006,27,433473.987086,9694.01915489,44205.4337649,0.0,0.0,0.0,0.0,0.205486515121,49.7274343482,-1.12879811475,-0.408333782052,-1.09860284585,-2.63573474264
148,4025,144.91112,-37.78068,0,Ascot Vale,Melbourne - Inner,Education,Essendon,20450940000,108.631647855,533914.390009,58,281612.300303,28706.6124201,11921.9592248,211673.518061,0.0,0.0,0.0,0.48628445428,54.0177424804,0.0274456841229,-0.305787235497,0.572480023914,0.29413847254
149,4015,144.90303,-37.74149,0,Essendon - Aberfeldie,Melbourne - Inner,Education,Essendon,20448270000,68.3321711934,643913.390011,44,567452.53117,12884.0246883,26207.1898413,37369.6443121,0.0,0.0,0.0,0.249330386637,55.0726618781,-0.847882140148,-0.280572650018,-0.837679482755,-1.96613427292
150,3987,144.93369,-37.76341,0,Moonee Ponds,Melbourne - Inner,Education,Essendon,20446680000,63.2493795405,490123.385007,31,302056.483506,129191.708253,20214.8536191,0.0,0.0,0.0,38660.3396289,0.504446031866,45.2183851565,-0.958283299849,-0.516108657101,0.680563086357,-0.793828870593
151,3942,144.98836,-37.8815,0,Elwood,Melbourne - Inner,Education,Port Phillip,20523580000,83.3964161801,407691.380006,34,366235.173941,9494.24449529,25966.4300968,0.0,0.0,0.0,0.0,0.179773565867,81.6765810884,-0.520678069999,0.355311756372,-1.25162558226,-1.41699189588
152,3941,144.94762,-37.74715,0,Coburg,Melbourne - Inner,Education,Brunswick - Coburg,20467830000,61.7638898374,777153.125012,48,740066.609794,25161.6254473,11924.8897704,0.0,0.0,0.0,0.0,0.113941236153,44.2400855413,-0.990548991058,-0.539491883653,-1.64340651481,-3.17344738952
153,3889,144.99675,-37.75543,0,Thornbury,Melbourne - Inner,Education,Darebin - South,20142050000,100.902205479,733383.37501,74,583994.981674,40562.7513831,18292.3884001,43336.283349,0.0,0.0,47196.9702039,0.399428874095,51.9773560775,-0.140442252355,-0.354556361818,0.0555856598584,-0.439412954314
154,3885,144.99553,-37.73737,0,Preston - West,Melbourne - North East,Education,Darebin - North,20146950000,96.1468285718,676049.340009,65,582410.165354,0.0,67567.3415662,26071.8330892,0.0,0.0,0.0,0.248814939292,42.2583599352,-0.243731775355,-0.586858905057,-0.840747009642,-1.67133769005
155,3820,145.02156,-37.87211,0,Caulfield - North,Melbourne - Inner South,Education,Glen Eira,20184301000,67.992625096,661836.485008,45,540786.899062,78080.7717297,20117.5630419,22851.2511747,0.0,0.0,0.0,0.328690572438,48.4746456849,-0.855257276784,-0.438277820342,-0.365391661023,-1.65892675815
156,3806,145.01427,-37.75452,0,Thornbury,Melbourne - Inner,Education,Darebin - South,20141320000,58.7582343231,680755.650009,40,658942.290284,17275.5833186,4537.77640618,0.0,0.0,0.0,0.0,0.0812769799781,45.8257756271,-1.0558335585,-0.501590866478,-1.83779782377,-3.39522224875
157,3774,144.98232,-37.84977,6,South Yarra - West,Melbourne - Inner,Education,Melbourne City,20400690000,135.24319049,635891.535009,86,491708.511198,46728.6124387,69347.8277901,6960.75126075,0.0,21145.8323211,0.0,0.408519407671,147.649223804,0.60546370433,1.932183736,0.109685184169,2.6473326245
158,3599,145.03201,-37.78352,0,Yarra - North,Melbourne - Inner,Education,Yarra,20638770000,80.1945109834,498787.255007,40,420110.540565,63279.5398128,12406.6558666,0.0,2990.51876219,0.0,0.0,0.271891098905,32.0739045423,-0.590225293475,-0.830286812078,-0.703416318597,-2.12392842415
