school_no, longitude, latitude, person, sa2_name_2016, sa4_name_2016, mb_category_name_2016, sa3_name_2016, mb_code_2016, Connectivity, Area, Connections, LUM_Residential, LUM_Parkland, LUM_Education, LUM_Commercial, LUM_Industrial, LUM_Hospital/Medical, LUM_Transport, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
3599,145.03201,-37.78352,0,"Yarra - North","Melbourne - Inner","Education","Yarra","20638770000",80.19451098338737,498787.2550065947,40,420110.5405650489,63279.539812750816,12406.655866646208,0.0,2990.518762187334,0.0,0.0,0.2718910989051184,32.07390454229056,-0.5902252934754724,-0.8302868120777438,-0.703416318596612,-2.1239284241498284
3585,144.95062,-37.75986,0,"Brunswick","Melbourne - Inner","Education","Brunswick - Coburg","20462110000",84.56392216345117,768649.3050116972,65,709748.6135546598,32077.365452110593,15348.451363839209,11474.874641005183,0.0,0.0,0.0,0.17836936098572306,60.29945689550321,-0.49531916817426913,-0.1556422808985165,-1.259982277219953,-1.9109437262927385
3179,144.9794,-37.7651,0,"Brunswick East","Melbourne - Inner","Education","Brunswick - Coburg","20461400000",99.75719099551645,541314.3600086635,54,446151.4706628569,76543.02187614334,12464.393750117313,6155.473719349655,0.0,0.0,0.0,0.29482136173987183,68.65228198501224,-0.16531262585343348,0.04400616870542911,-0.5669538875080323,-0.6882603446560367
3146,145.00388,-37.78679,0,"Yarra - North","Melbourne - Inner","Education","Yarra","20641640000",111.46584547565313,439596.54000653327,49,304651.1892247727,126985.08253460433,7960.2682473398745,0.0,0.0,0.0,0.0,0.35226488982401855,65.23678368976178,0.08900608744837175,-0.03763075436723575,-0.22509633667407303,-0.17372100359293702
3139,145.00883,-37.76151,0,"Thornbury","Melbourne - Inner","Education","Darebin - South","20139870000",45.42203469332612,748535.3800100822,34,730683.0795395405,0.0,17852.30047032563,0.0,0.0,0.0,0.0,0.05789829481104345,51.86575894960534,-1.3455034890536446,-0.3572237460056066,-1.9769289029303916,-3.6796561379896424
3110,144.9874,-37.77697,0,"Fitzroy North","Melbourne - Inner","Education","Yarra","20637210000",113.37452757643024,555680.3750077742,63,409598.7483469548,88128.20642144151,19347.236000864155,26350.385581931565,0.0,0.0,12255.798656390187,0.4432194589088741,60.14192514141572,0.1304637610687958,-0.15940759025552192,0.31619190347300236,0.28724807428627624
3016,145.0099,-37.84508,0,"Toorak","Melbourne - Inner","Education","Stonnington - West","20546000000",120.87257519842562,306107.485004439,37,291458.6544130526,9846.717977452907,4802.11261382699,0.0,0.0,0.0,0.0,0.11430386890581964,45.830540319376055,0.2933256703288654,-0.5014769812444819,-1.6412484171291504,-1.849399728044767
2955,144.9681,-37.7804,0,"Carlton North - Princes Hill","Melbourne - Inner","Education","Yarra","20636310000",91.21529407325035,635858.2800097445,58,522573.85280301323,48600.00017795601,37325.69249546637,27358.734533195235,0.0,0.0,0.0,0.338957429963074,71.09110441182645,-0.35084754262057416,0.10229867586978178,-0.3042916052728211,-0.5528404720236135
2932,144.9338,-37.83532,0,"Port Melbourne","Melbourne - Inner","Education","Port Phillip","20532000000",129.99858814905176,623083.6900099891,81,426714.42870444176,113066.61884382891,21594.276882054284,0.0,61708.36557963886,0.0,0.0,0.46995340499073024,66.70135554167811,0.49154792337392733,-0.0026246939702662406,0.47529078957001947,0.9642140189736805
2901,144.90958,-37.76828,0,"Moonee Ponds","Melbourne - Inner","Education","Essendon","20446880000",78.35332069767286,676423.1500091883,53,631001.138086606,12583.109529238289,14606.133712017909,0.0,0.0,18232.768681434914,0.0,0.16402893464493057,47.353659492184995,-0.6302170060331422,-0.4650715282205371,-1.3453249292171774,-2.4406134634708567
2870,144.99728,-37.89142,0,"Brighton (Vic.)","Melbourne - Inner South","Education","Bayside","20044160000",63.08879855554966,237760.11500349792,15,143647.1860397698,56951.57547682879,33261.351675740094,0.0,0.0,0.0,0.0,0.4731663349718511,35.236529691982,-0.9617712112526624,-0.754694039447154,0.4944115575830502,-1.222053693116766
2837,144.96648,-37.75505,0,"Coburg","Melbourne - Inner","Education","Brunswick - Coburg","20467930000",66.93135513289631,732093.350010731,49,529129.3826966335,0.0,32379.63755386474,124687.74099134616,40738.775547828176,5157.813221494202,0.0,0.44694926684545994,51.1366707841555,-0.8783086711121164,-0.37465034362938165,0.33838871221383227,-0.9145703025276657
2815,144.9575,-37.8478,0,"Albert Park","Melbourne - Inner","Education","Port Phillip","20529380000",145.77921637000222,816302.9200127274,119,753562.6073740273,47072.32035179222,15582.814165583113,0.0,0.0,0.0,0.0,0.16128592640426775,62.39173111895613,0.8343122496297509,-0.1056329367086901,-1.3616491020238464,-0.6329697891027856
